Compound;Conc_ppm;S1_T1;S2_T1;S3_T1;S4_T1;S5_T1;S6_T1;measure_id;Source_id;UoM
Ethylbenzene;0;0;0;0;0;0;0;5;MS1;µS*s
Ethylbenzene;0.48;0.100406916;0.242089728;37.99173206;10.36508174;9.275628132;38.8486504;5;MS1;µS*s
Ethylbenzene;4.8;0.400106346;0.814161632;117.2983235;41.35071928;31.29539671;132.7688488;5;MS1;µS*s
Ethylbenzene;48;2.468682108;5.901306377;542.2936173;140.2699232;130.2964789;493.5203377;5;MS1;µS*s
Ethylbenzene;96;4.962028632;11.80826529;941.2940226;276.2081095;218.0174287;878.6208627;5;MS1;µS*s
Ethylbenzene;192;7.396226415;20.86415094;1466.666667;439.9542;352.4333333;1470;5;MS1;µS*s
Ethylbenzene;384;13.73584906;33.62264151;2565.333333;630.5;724.472;1985.5;5;MS1;µS*s
n-Heptane;0;0;0;0;0;0;0;6;MS1;µS*s
n-Heptane;1.7;0.068836187;0.312030162;200.7053849;287.4126928;254.4327511;939.8451343;6;MS1;µS*s
n-Heptane;17;0.306225833;1.018810991;712.3459359;1016.806395;754.0622983;3636.747913;6;MS1;µS*s
n-Heptane;168;1.641799272;6.647009999;2745.524289;3613.14995;2958.920355;13153.65297;6;MS1;µS*s
n-Heptane;300;3.007813992;12.13072913;4992.955157;5580.638681;4920.314237;19158.38834;6;MS1;µS*s
n-Heptane;500;5.217636516;20.85634132;7984.765589;10719.31189;7361.526251;34893.2846;6;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;6;MS1;µS*s
Propan-1-ol;0.6;0.032;0.0628;9.02084;2.0503758;1.0428;2.7068;6;MS1;µS*s
Propan-1-ol;6;0.12981283;0.201237736;24.43856688;6.746037348;2.9500668;9.362027427;6;MS1;µS*s
Propan-1-ol;60;0.713417283;1.428561113;116.995664;23.9961173;12.36455907;29.40076433;6;MS1;µS*s
Propan-1-ol;120;1.362264151;2.943396226;196.2666667;48.96;24.48;57.6;6;MS1;µS*s
Propan-1-ol;240;2.839245283;5.377358491;400.9333333;97;45.33333333;112.8;6;MS1;µS*s
Propan-1-ol;480;5.716981132;10.28679245;798.6;200.2;94.26666667;245.7333333;6;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;6;MS1;µS*s
Ethylbenzene;0.48;0.106492183;0.254831292;35.77862146;11.0266827;9.568542705;42.0199688;6;MS1;µS*s
Ethylbenzene;4.8;0.42811379;0.874152489;113.7075585;38.6200114;29.16852509;145.6174471;6;MS1;µS*s
Ethylbenzene;48;2.588521045;6.327173848;516.2218087;143.0753217;115.8190924;483.7476577;6;MS1;µS*s
Ethylbenzene;96;4.865678562;12.17346937;903.2619409;260.7198043;206.8940905;922.9956537;6;MS1;µS*s
Ethylbenzene;192;7.094339623;23.44528302;1408;444.2256;366.9666667;1455;6;MS1;µS*s
Ethylbenzene;384;12.81132075;36;2318.666667;643.5;724.472;1901.9;6;MS1;µS*s
